recordID,10y_down:base,10y_up:base,1y_down:base,1y_up:base,2y_down:base,2y_up:base,30y_down:base,30y_up:base,3y_down:base,3y_up:base,4y_down:base,4y_up:base,5y_down:base,5y_up:base,7y_down:base,7y_up:base,base:1_D,base:1_U,base:2_D,base:2_U,base:3_D,base:3_U,base:4_D,base:4_U,base:5_D,base:5_U,base:base
30002,122452,122401,122415,122420,122403,122433,122986,121988,122402,122433,122399,122436,122381,122454,123807,121030,122418,122418,122543,122292,122711,122125,122845,121991,122418,122418,122418
30002,151085,151462,151269,151279,151253,151295,154945,147668,151250,151298,151245,151303,151217,151330,152038,150511,151274,151274,151404,151145,151576,150973,151710,150839,151274,151274,151274
30002,148882,149903,149378,149385,149364,149399,151107,147658,149363,149401,149359,149404,149337,149427,150935,147838,149382,149382,149455,149308,149553,149210,149958,148808,149382,149382,149382
30002,149829,151306,150560,150567,150545,150583,152791,148337,150543,150584,150539,150588,150514,150611,152230,148899,150563,150563,150679,150448,150832,150293,151134,149993,150563,150563,150563
30002,155813,157018,156409,156419,156391,156436,160478,152410,156388,156439,156382,156444,156351,156475,157558,155269,156414,156414,156514,156314,156646,156179,157176,155655,156414,156414,156414
30002,178266,179025,178639,178649,178623,178665,181682,175649,178621,178667,178617,178672,178590,178699,179809,177480,178644,178644,178684,178605,178736,178551,179196,178095,178644,178644,178644
30002,131534,132194,131859,131870,131842,131887,136158,127656,131839,131890,131833,131895,131804,131925,132605,131125,131864,131864,132072,131657,132348,131380,132327,131402,131864,131864,131864
30002,58681.7,61590.5,60125.6,60133.9,60110.6,60148.2,63953.9,56310.6,60107.7,60149.8,60103.2,60153.4,60078.1,60177.6,61641.8,58617.6,60129,60129,60418.9,59838.9,60805.2,59451.9,60813.3,59445.6,60129,60129,60129
30002,140358,141790,141066,141076,141048,141093,145223,136994,141046,141097,141040,141102,141009,141131,142254,139888,141071,141071,141229,140912,141439,140701,141769,140375,141071,141071,141071
30002,41031.6,42855.5,41932.6,41943.5,41916.6,41960.1,46645.9,37328.2,41913.7,41963.7,41908.3,41968.8,41879.6,41998,42934.7,40942.5,41939,41939,42401,41476.9,43016.7,40860.4,42411.9,41466.7,41939,41939,41939
30002,115740,117928,116822,116830,116809,116843,119795,113886,116807,116844,116803,116848,116781,116869,118231,115423,116826,116826,116979,116672,117184,116468,117231,116421,116826,116826,116826
30002,119215,119185,119197,119207,119181,119222,122204,116271,119179,119225,119174,119229,119148,119256,120025,118380,119202,119202,119427,118977,119727,118676,119633,118771,119202,119202,119202
30002,91758.6,93394.1,92568,92574.9,92553.8,92589.6,94941.2,90200.3,92552.5,92590.9,92549.1,92594.8,92525.7,92617.2,94104.2,91042.2,92571.9,92571.9,92799.4,92344.3,93102.5,92040.7,93157.2,91987.3,92571.9,92571.9,92571.9
30002,122766,123085,122923,122931,122908,122945,126345,119572,122907,122948,122902,122952,122876,122977,123525,122330,122927,122927,122988,122865,123071,122782,123574,122281,122927,122927,122927
30002,138434,140634,139524,139535,139507,139552,142666,136384,139505,139554,139500,139558,139471,139587,141432,137629,139530,139530,139719,139340,139971,139086,140321,138741,139530,139530,139530
30002,67888.9,67922.2,67902,67908,67888.8,67920.8,68561.4,67271.3,67888.7,67921.8,67886,67924.7,67867,67943.6,69313.8,66504.2,67905.6,67905.6,68204.2,67607,68602.2,67208.7,68365.5,67446.1,67905.6,67905.6,67905.6
30002,130828,131601,131210,131216,131198,131228,132539,129879,131197,131229,131193,131232,131174,131251,132589,129839,131213,131213,131266,131159,131338,131087,131754,130672,131213,131213,131213
30002,127420,128469,127939,127945,127926,127959,129627,126257,127925,127960,127921,127963,127900,127982,129377,126509,127942,127942,128068,127816,128237,127648,128372,127513,127942,127942,127942
30002,139179,141415,140284,140295,140267,140312,144356,136282,140264,140315,140259,140319,140230,140349,141825,138754,140290,140290,140470,140109,140710,139868,140977,139604,140290,140290,140290
30002,127067,129424,128232,128240,128218,128254,132218,125786,128215,128256,128211,128261,128187,128284,129396,127076,128236,128236,128315,128157,128420,128052,128787,127686,128236,128236,128236
30002,102145,102205,102172,102178,102160,102190,102840,101525,102159,102190,102156,102193,102137,102212,103550,100807,102175,102175,102313,102036,102498,101851,102772,101579,102175,102175,102175
30002,117354,119763,118545,118553,118530,118566,122611,114569,118528,118569,118524,118574,118499,118597,119698,117400,118549,118549,118649,118448,118783,118314,119121,117979,118549,118549,118549
30002,88134.7,89280.7,88700.5,88707.5,88685.1,88722.4,90559.2,86851,88684.1,88723.6,88680.4,88727,88656.8,88749.8,90328.2,87083.1,88704.5,88704.5,89002.1,88406.7,89398.7,88009.5,89229.7,88179.9,88704.5,88704.5,88704.5
